ID,hc_related,description
9265,1,"Reader, Technologist, Mother. User of made-up word ridicularity--go ahead, it often fits. Tweets=mine. Persisting, nevertheless. @NTTDATAInc  #HealthITChicks"
9266,0,Artiste
9267,0,"I love to laugh! Dream BIG , Believe BIG, Hope to never stop, with all I have in me."
9268,0,"When your skin is ready for relief, Noble Formula"
9269,1,"#Abdallah, #Misikinullah, #Islam,  #MolecularBiology, #Biotechnology,  @molecular, #Haramain #CRISPR addict.
https://t.co/TdGKGv7vTB"
9270,0,#Drake NOLAN's life 10
9271,1,"Emergency Physician in Yangon General Hospital, Myanmar"
9272,0,Mad scientist of men's league hockey.  Bears. Hawks.  Bulls.  Azzurri.
9273,0,Married 47 years and Nana to four beautiful grandchildren! Loves Alabama Football!
9274,0,"Kristina Parker. Graduate of UAH FNP program. AANP certified. Mother to my sweet girl, Lily Kate, and two puppies. Happily married. Saved by Jesus Christ. "
9275,1,Using #iopsych selection science to help programs identify best fit candidates for surgery careers in a fair and equitable way.
9276,0,TCHS2019 | John 11:25-26| NSU Baseball Commit | @Hannahboettche1 | #TrustTheProcess | Yak | .5% | #DontBlink
9277,0,my real name is marko or marco im 27 years old single never married and this is my email jackbar4510@yahoo.com
9278,0,"Father of 4, husband, and soccer fan. #CFC. Certified IT Auditor, Information Security & Controls Specialist. Interest in Governance, Risk Mgt, & Compliance."
9279,0,love making friends reading watching movies & lot more & live and let live A retweet may not always equal an endorsement I do not own any of the content posted
9280,0,#teethwhitening  #TEETH  #weightloss  #weight  WHITENING NATURALLY
9281,1,Global health issues. politics. international development. mental health. mindfulness. travel. tea.
9282,0,"Ready to meet, help and learn."
9283,0,DOING MY BEST HOPE IN GOD. WHAT'S MORE THAT? FOR NOTHING SHA!
9284,0,"Dynamic trainer, curriculum developer, author and content consultant. SME on domestic violence, stress management  inclusion and social and emotional learning."
9285,1,internal medicine doc. geriatrics and palliative medicine fellow. budding oncologist. celebrate pride .
9286,0,"Lover of life| 254 diehard|
Activist |AfrikanSpirit| Data4Action|DiseaseCop|

Kill Poor & Crippled Leadership. Kill Corruption.

Stand up. It's time."
9287,0,The official Twitter feed of the Touro College & University System https://t.co/rB1gnj7kyH
9288,0,It's Me!! :)
9289,1,"I love having fun, news junkie, polymyositis survivor, jazz/classical, playing video games (still have my Atari), fishing & Janet enthusiast!#OverTheTop"
9290,0,Listen With The Ear Of Your Heart
9291,0,We are a non profit organization dedicated to the betterment of widows and their families.
9292,1,"3W Medical for Women is a women's clinic that aims to provide high quality reproductive health services to women in the Seattle area.

A service of WAMS P.S"
9293,1,"Immunology page for the community to discuss and post interesting facts, images, events, jobs, videos, papers, conferences, etc."
9294,1,"I Will Survive, Inc. Breast Cancer Educational Awareness and Funding In Lower Income Communities 501 (c)(3)"
9295,1,"Raising $ to END Pancreatic Cancer! And having a lot of fun doing it! Nov 28, 2015 Run in the Morning, Party at Night!"
9296,1,5th stage Medical Student at Hawler Medical University
9297,1,"We are focused on providing outstanding continuing medical education in the areas of radiology, breast imaging, ob-gyn ultrasound & gynecology. ACCME accredited"
9298,0,let's go on an adventure
9299,0,I am professional graphic designer.
9300,0,"Imran Khan ka Sepahi

#TeamInsaf"
9301,1,Medical Research
9302,0,"Wife, mom | "
9303,1,Runner. Mother. Health educator at Vanderbilt University Medical Center. Passion for getting people cooking and living healthy lifestyles. Opinions all mine.
9304,1,"Rheumatologist (MD, PhD) at @LaStatale"
9305,0,"Author: 
1. ""You Are Reiki""  
2. ""My Four Year Challenge"" ""How Amrit Yoga ... ""
https://t.co/Z2A4m7CE0X"
9306,1,"Care at home services currently helping clients in Sarpy, Douglas, and Cass counties of Nebraska. Serving elderly and disabled adults since 2002."
9307,0,Digital Business Manager | Web Developer | PPC Expert | SEO Expert | Digital Slayer since 2013!
9308,1,An online HEALTH MAGAZINE for the Filipino People. To know more about us visit our website at http://t.co/LOCanXcZg1
9309,0,#STEM Student On The Stage(SOS) #PBL Model. Learner Centered Project Based Learning Model. #STEMSOS @STEMCONNECT #personalizedlearning #PBLworld #RTTD #inacol16
9310,0,Reporter @InsideClimate covering farming and food production as the planet bakes. Former @cqrollcall @stltoday @thedayct Aspiring New Mexican
9311,0,"You don't guide life, you ride life!!!"
9312,1,Real-time news from medical professionals throughout the US.
9313,1,Pre-Med student and aspiring CT surgeon.
9314,1,Pharmacist and master of the weekend trip. 
9315,0,--
9316,1,Educating women for healthier living
9317,0,"Provide the real high quality natural Pu-erh tea from Yunnan, where  our own tea plantations are located, directly  to the whole world !"
9318,1,"Joey Forman, CHC, COO | Chief Operating Officer; Compliance Officer | HOPE Family Health | Federally Qualified Health Center (FQHC)"
9319,1,"Bachelor of Science in Nursing, Villanova University @VUnursing,2010,
BLS & IV Therapy Instructor.
Pg Dip. Health Services Management @OSNI, 2017"
9320,0,"Indian,love my nation very much and have good respect to other countries https://t.co/4Qnu0KaRch honest and patriotic person.Hate terror & terrorism. Moto LIVE AND LET LIVE."
9321,0,"Integrative Acupuncture, Massage, Dry Needling & TCM herbal specialists located in Charlotte, NC"
9322,0,"25 never felt so good. Kings of Kings, Through God all things are Possible."
9323,0,"In these bodies we LIVE, in these bodies we DIE. Where you invest your LOVE you invest your LIFE"
9324,0,Licensed Massage Therapist
9325,0,I'm having too much fun today to worry about tomorrow.
9326,0,[ ]  ..  .. 
9327,0,"Psicloga, psicoterapeuta, ITESO, conferencista, Especialista Conductas Adictivas, Psico-oncologa, Involucrada en procesos de cambio y transformacin social."
9328,1,"The IncuCyte Live Cell Analysis System, designed by Essen BioScience, Inc., is the first system to quantify cell behavior over time inside an incubator."
9329,1,"MD, Respiratory Physician."
9330,0,"Football Coach and History Teacher at QRHS. Unity, Commitment, Discipline, Toughness, Excellence. Double Wing enthusiast thoughts are my own!"
9331,0,24/7 Great deals!!!
9332,1,Here just for the articles; Chocolate bar critic @IMPARTteam @DalMedSchool @UN #SaaS #AI #VulnerablePatients #Scrum #descentralization #OrthopedicSurgery
9333,0,"Create OPTIMAL HEALTH, AUTHENTICITY, JOY & INDEPENDENCE in UR lives! Success=living UR life surrounded by what matters most 2 U. http://t.co/Bhyk529ahn"
9334,1,"Zero-In Recruitment Marketing applies a full breadth of services to the fields of healthcare, executive and educational professional recruitment."
9335,0,"Currently living in Brisbane. Enjoying the Sunshine state and it's outdoor lifestyle....stick another steak on the barbie!
Chartered Physiotherapist."
9336,1,"Developmental neuroscientist / neural stem cells, Alzheimer's, and regeneration @ Helmholtz Association, DZNE. Advocates 4 academic freedom. @Kizil_Lab_DZNE"
9337,0,"Michigan grad. Business owner. Mom. Love  Colorado. Despise Trump. ""G-d, please save what's left of this country from the NRA and Republicans."""
9338,1,The Pediatric Advocacy Program @ Stanford University School of Medicine https://t.co/NZb1OO67Iy  RTs are not endorsements
9339,0,@PwC_Canada | @PwC_CA_Careers | Talent | #big4 | D&I Ambassador | #HeForShe | #WomeninTech | My thoughts| #Global | #PwCGP100 | #PwCProud | Find me on LI
9340,1,"HeartbeatUK is a fast-growing social networking site that allows you to rate your views and experiences on any health issue. 
You are the Heartbeat. Join Us"
9341,1,Dental Chat https://t.co/x3cdh04gOv DentalChat is networking with Local Dentists and Dental Companies.
9342,0,"Author: Sister Wit; God's Trophy Women; & Jacqueline's Jewels -I Love Jesus, people; coffee, dogs and sunshine! Making the rest of my life the best of my life!"
9343,0,I m following creatures
9344,0,I tweet and retweet what i like |Sports lover.
9345,0,It took me applying 3 times. Genuinely Like working for Walmart. (Just began my 7th year.) Hope you find YOUR job fit too. Don't just rely on luck!
9346,0,"Hacked out of business on February 21, 2013."
9347,1,Our companies work to bring affordable quality care to consumers. Follow us for the latest health care insights. Corp responsibility @AnthemFDN
9348,1,Seniors Sensory Loss Partnership
9349,1,I'm just girl trying to discover what is life really all about...I'm also a clinical psychology.. An artist... A musician... And a crazy gal sometimes...
9350,0,"I am an activist, writer, poet, artist, dad, and speak for those that can't! Peace is the answer. Science is the answer. Stop Americans from suffering. Join me!"
9351,0," Mdico, buscando el sentido de la vida, la verdad y el amor.
Trying to find the meaning of life, truth, and love."
9352,1,Specialist in Family and Community Medicine.Epidemiology.Involved in public health research.All my tweets are my opinions.
9353,0," Music producer 
 Sound Engineer
 DJ /  Songwriter
 HGME Soldier 
 Film Maker
 @Unbeatable Productions.
 Nigeria.
 bookmilliyoung@gmail.com."
9354,1,"We are a global purchasing organisation (GPO) for medical devices. We assist hospitals, doctors and their patients with innovative health care products."
9355,1,"Former TV Journalist; Digital Communications, Media Outreach, Email Marketing, Web & Social Media Development. Healthcare, Biotech, Arts, Dining, Culture"
9356,1,#Autism Story Block Toy & Dice Game FIRST EVER of its kind Story Block Toy & Dice Game for those with #Asperger's & Autism to teach social-communication skills!
9357,1,"Surgical Group in North Texas offering full-spectrum General Surgery, along with Advanced Laparoscopic, Bariatric, Breast, and Oncologic Surgery"
9358,1,"married, works in pharmaceutical industry."
9359,1,"Larry Goldberg, aka Larry G Comedy, Love Child of Woody Allen & Buddy Holly: Comedian,Springsteen Fanatic,RA/Still's & TAA (Thoracic Aortic Aneurysm) Survivor.."
9360,1,High quality urological care with a personal approach.
9361,1,"Pharmacist,Public Health Professional,Supply chain and Logistic professional and Social Commentator."
9362,0,Digital Signature Service from @ValidatedID
9363,0,hakeem abdul rauf hashmi
9364,0,strategicplanningMD
9365,0,"Davidson '15 | 
Wake Forest '19"
9366,0,"We love Jesus! He loved all of us sinners so much, He died for us.Now He's preparing our mansion.He'll be back to pick us up soon! Will you be going with us??"
9367,0,"Physician |
"
9368,0,We are too hot in the business
9369,0,Hope anchors the soul 
9370,0,"The good thing about science is that it's true whether or not you believe in it. - Neil deGrasse Tyson... Ser Humano, se vive con sonrisa y chispa de locura"
9371,1,The American Journal of Kidney Diseases is the official journal of @nkf | https://t.co/I6SPkOIqnX | https://t.co/AvsQ7JFYkX
9372,0,an MC and a comedian... touching lives through comedy...
9373,0,Simplicity is my norm.
9374,0,"born for honesty,no discrimination,just and fare forever"
9375,1,"Educator, longtime advocate for mental health and recently BC....addicted to exercise and chocolate with Carleigh my favorite schnauzer!!"
9376,0,Reg- ALP professional and dinosaur enthusiast
9377,0,"Singer, songwriter"
9378,0,Pour que l'amour soit toujours en veil;      ; Salva l'amore ogni giorno!
9379,0,"The world's biggest problem is that intelligent people are full of doubts, while stupid people are full of confidence."
9380,1,Committed to translating the language of genes into actionable information that doctors and patients can use to make informed decisions about cancer care.
9381,0,Yb Tp 2014 /MED
9382,1,"Program Director, Cancer Genomics Hub at UC Santa Cruz."
9383,1,"     Endocrinologist , specializing in Endocrine Tumors"
9384,1,Healthcare Communications Professional. Temple Made. Pit Bull Mommy
9385,0,parish-life coordinator at Church of the Ascension
9386,1,"Our goal is to educate as many people as we can to be proactive when it comes to their health, Physically, Mentally, Spiritually, and Financially."
9387,1,Interventional Cardiologist
9388,0,John R. Ellement is a breaking news reporter for https://t.co/HdBnVEfraQ and Home of The Week author for @GlobeAddress. Email is best: ellement@globe.com.
9389,1,Imaging Technology News provides the latest information on new technology for Radiology and Radiation Oncology physicians.
9390,1,ad astra per aspera. lover of all things whimsical. storm in the form of a girl. Critical Care Nurseling. Resto Shaman Extraordinaire.
9391,1,"Always have an opinion. Pharmacist, sometimes."
9392,1,"We Make Things Work! Hospitals, Airports, Manufacturing & Interstellar Projects"
9393,0,cjs.1915@gmail.com
9394,0, .    .               
9395,0,"Tecnlogo Mdico/INSN/Amante de los animales y la lectura, disfrutando la vida. "
9396,0,It's all on https://t.co/vIVAGhBuH9
9397,1,General Surgery resident at Henry Ford Health System. Currently a research fellow at University of Michigan.
9398,0,#Political and social commentator. Minnesota #Conservatarian. Non-profit worker. Creator of @TALONMedia. Cut the Cord. Retweet  endorsement.
9399,0,"professional whos career is not a hobbie, husband, father, Confirmation teacher, dog lover, responsible gun owner who is anti NRA.  Never Trump Republican"
9400,0,"Berkeley Alumna, coffee addict, IPA and pizza lover & I love turtles"
9401,0,Industrial Design Consulting - we help develop products and brands : research : design : engineering : prototyping
9402,1,"EM doc- 
3 words for Emergency Medicine
ANYTHING AND EVERYTHING
-Never ever give up on a patient- Trying to do something good everyday 
#EMPOCUS #FOAMED"
9403,1,A developing data base tracking the emergence of ACOs whether certified by CMS or not. The industry is broader than the lens created by the MSSP.
9404,0,"generosity seeker, author, adventurer in faith, faithrunner, servant leader, B H Carroll Theological Institute"
9405,0,"Sunrise Physical Therapy in Ventura and Oxnard CA. Our motto is Attitude is EVERYTHING! At our offices, we focus on building a foundation & restoring function."
9406,1,"Health and Welfare Practice Leader at Foster & Foster, Inc, an actuarial and consulting firm."
9407,0,"Programa Informativo venezolano que difunde sus noticias por TV a travs de VENEVISION, y por su sitio Web http://t.co/AqzlTxruMF"
9408,0,Hi my name is Liz I am married to MARKUS and have 2 children Luke 13 and Esther 10 years old.
9409,1,"Is health care a right or priviledge?  I believe it should be a right for all US citizens. I am a nurse, CCRN and member of AACN. Over 30 yrs at the bedside."
9410,0,Project Management Specialist - Public Sector Purchasing and Procurement Specialist -Insurance Broker /  -  -  - 
9411,0,I achieve & experience what others limits believe is impossible b/c I believe & exist to help u do same.
9412,0,GIS Farmer | MBA | Visionary | Triathlete | Leader | Geographer | Toastmaster
9413,0,"news, natsec, coffee, & podcast junkie. nonpartisan. student. atlanticist. #GoBolts #StrongerWithAllies | RT  endorsement"
9414,1,"Independent Pharmacist, LOOKING FOR A CAREER, Self-Employer.(MSc Biotechnology/UK /2015) .(BSc pharmaceutical sciences / IRAQ. 2003)FIP membership since 2009"
9415,0,Socialism (because poverty is violation of human rights)
9416,0,"wife, mother, grandmother, love our maltipoo Max,"
9417,1,Adding precision to the #ImmunoOncology revolution by personalizing #cancer #immunotherapy.  #ImmuneCompanionDiagnostics #ImmunTraCkeR
9418,1,We provide an online platform for people to stay connected during a health event and receive direct financial donations (CareGifts) from their social network.
9419,0,Remember de night has nothing to do with sleep @# $Hve learned to live half alive$
9420,0,El mundo es un pauelo
9421,1,Communications professional. Feminist. Floridian. Fundraiser. Introvert. Mental Health Advocate. Proud Stepmom. Lucky Wife. Tweets = mine alone
9422,0,I am a semi retired Social Worker who works with the international community on various areas of related concern!
9423,1,The only FDA-cleared concussion evaluation and management tools for ages 5-70.
9424,0,Rant dump 
9425,0,"Project Manager, Humanity and Hope United Foundation"
9426,1,We are a global family of healthcare communication companies who bring magic to our clients and programmes.    We are pioneers in medical education.
9427,0,Cartagenera como la Kola Roman Worshiper
9428,1,Lyme Disease Research Foundation's official Twitter page. This page is dedicated to our ambition of promoting education & awareness of Lyme disease
9429,0,"The endurance training and fundraising program for SeriousFun Children's Network founded by Paul Newman. Follow us for tips, inspiration and SeriousFun events."
9430,1,'GENOME The #FertilityCentre' is a single stop solution for all #Fertility related issues with State-of-the-Art Centres spread across Eastern India.
9431,1,"Focusing on healthcare without the hassle, we provide the metro with comprehensive, transparently priced #directprimarycare from a convenient midtown location."
9432,1,Nature Biotechnology is a monthly journal covering the science and business of biotechnology.  Part of @nresearchnews and @SpringerNature.
9433,0,Tratando de vivir cada da para agradar a Dios...Mi Todo!
9434,0,Any comments made about stocks etc. are strictly my observation and personal opinion not advice for trading strategy. Charts n confirmation not gut instincts.
9435,1,Industry-first mobile orthopedic care unit servicing South Florida and the surrounding area.
9436,0,"Mother ,Educator ,Warrior for God ,Protege Heiress of Wisdom I AM,  Motivational Speaker,  Global Peace Ambassador."
9437,0,Academic Dean in Higher Education | Twenty Season College & Professional Head Basketball Coach
9438,0,Empowering others to live a life of Freedom! Certified FASTer Way To Fat Loss Coach https://t.co/dkEozZiVCG
9439,1,"medical officer, occupational health practitioner, health promotion advocate"
9440,1,"Regional Manager, Ascension Care Management"
9441,0,Medico Cardiologo / Internista. Apoyo a la democracia.
9442,0,Music
9443,1,Former non-profit Boards: Dogwood Consortium; national Narcolepsy Network; Ret Real Estate Broker; BA Religion UNC; BSN UNC Charlotte; Ret 1LT USAF Nurse;
9444,0,"write/read poetry, love Elvis & all 50/60 music 
& all movies from the 40's to the present etc"
9445,0,"Pastor @ Christian Charismatic Min. and head of gospel, radio pastor @ Trinity 96. 7 fm, bogoso in the western region of Ghana.Always  doing God's work."
9446,1,We are a group of doctors guided by Dr. Aniruddha D. Joshi for the benefit of everyone.
9447,1,"@BUSargent Human Physiology & Public Health. Sharing my opinions on health disparities, education & healthcare access inequities, and medicine."
9448,1,Shoulder and elbow surgeon with the San Antonio Orthopaedic Group
9449,0,       ..           #_
9450,0,It's five o'clock somewhere
9451,0,The Official Lea Westort Twitter page.
9452,0,keep the faith 
9453,1,"former tv news reporter, current news junkie, runner, artsy/crafty, aspiring culinarian, world traveler, Mizzou grad, best fam ever & hey, let's cure Crohn's!"
9454,0,"1) Professionals were once amateurs. 2) Ideas remain when peoples cease to exist. 3) In life, 3 things are constant: Taxes, Debt, and Proficiency Testing."
9455,1,"Catalysis at the interface of business, science, and technology. Providing genomics and IT consulting services."
9456,0,"Business & Finance, World News, Politics"
9457,0,Business Development & Research @Yodlee #FinTech
9458,0,     -       ..
9459,0,M3!!! :P
9460,0,Vamo Q Vamo
9461,0,Always there in absentia
9462,1,"Early Childhood Therapist, Infant Mental Health Specialist, Mom of the worlds four coolest kids, nature lover"
9463,0,To God Be The Glory
9464,0,Never ever give up
9465,1,"InboundMD helps #healthcare practices acquire new #patients, manage online reputation and engage patients with educational #content and #socialmedia."
9466,0,Life is good. B+
9467,0,"UCONN grad/Fan, sports FANatic,NE Patriots, Celtics, Red Sox, Bruins, Parrothead, retired geek, volunteer for Another Chance for English Setters dog rescue."
9468,1,"Meet our integrative approach to age management and wellness, led by Dr. Mickey Barber. Its never too late or too early to feel your best. 843-737-2597"
9469,1,"Doing the right thing, in the right way  an industry leader in medical education and partnership working."
9470,0,"#MAGA #KAG #VETs1st #Wall      
RT by@AnnCoulter(5x)  #EndGunFreeSchoolszones""act  Support H.R. 34 Safe Students Act.
WWGOWGA"
9471,0,Aircraft Engineer
9472,0,Made this App called Checkoff Portions Diet Tracker - Visual Group Exchanges (Note: Retweets are because I find interesting not because I endorse them.) - Rick
9473,1,"Health news and insights from Frederick Memorial Hospital, a privately-owned, non-profit hospital."
9474,0,This account tweets on Politics. conservative. Jesus Follower.Married. wont tolerate attacks or foul language. will debate but will not tolerate nastiness.
9475,1,"Representing IARP, the International Association of Rehabilitation Professionals"
9476,0,Softare para consultorios mdicos. EMR y control financiero.
9477,0,"Crafter, homemaker, seamstress, Educationalist"
9478,1,"The Maryland Department of Health promotes healthful choices in individuals and communities, while working to protect the public health of Maryland."
9479,1,"Producer+ Nurse, Entrepreneur, Vet, #DiversityChampion, Int'l Speaker + Founder @nursedstudy @fornursebynurse"
9480,0,  ..              
9481,1,"Medical student, Karate World Champion

       
    
   ..   "
9482,1,"Regional EMRTP-WR, Emergentologist, Daughter of whom I want to be like to my Bilal! (Emergency Room is My Passion! We don't do miracles.. We try to save lives.)"
9483,1,Women's health enthusiast I M.D. candidate @RushUniversity I @BUSPH and @NYUGallatin alum I ice cream fiend
9484,0,Digital Marketing. Growth Hacking. Politics. Music.  I Nigeria.
9485,0,"Looking out to see what's going on in the world of architecture and environmental design and reviewing exhibitions, buildings and related events on my blog"
9486,0,software defined radio and the programs for it are responsible for voices in the head of many Americans.
9487,0,"Am just me, to know me more you have got to come a little bit closer. I am cool, am blunt not diplomatic. But one more very important thing, I LOVE JESUS!!!"
9488,0,Proud US Army Veteran. Lifelong Texan. Lover of Life and Liberty. Progressive. Political junkie and activist.#Resister of all things Trump! Blocking Trumpsters!
9489,1,"Probably the only basket weaver with arthritis under retirement age. Big fan of books, kids, and sunscreen. Not the bestselling author."
9490,0,Block and delete . 
9491,0,#PROUD2SHARE is a campaign of a social movement to address economic insecurity within the LGBTQ community.
9492,1,"Working for improving human condition. Doctor , Family Physician , Love travel"
9493,1,"One librarian's Weltanschauung. Foodie, #tea lover, avid reader, #chess player, meditator, #toxophilite #sinophile #mentalhealth #mindfulness #bipolar #Quaker"
9494,1,Orthodontist at Lake Minnetonka Orthodontics
9495,1,Ohio University Nursing '19
9496,0,Business Man
9497,0,"H letme, Ykseli, Ankara, stanbul, Otomobil zellikle Alfa Romeo, Ferrari, Maserati, Saab, GM, Anadol, Ford, Fenerbahe, fitness, tp,  fizik, bilgisayar"
9498,0,Periodista en desarrollo. FCPyS.
9499,1,"Leading the way for change by providing premium quality physiotherapy products, at cost-friendly prices - Resistance Bands | K Tape | Acupuncture Needles"
9500,0,SPRING
9501,0,Farmasi Univ. Pancasila 2012||simple||
9502,0,"Struggling to be someone I'm not used to be..
One thing for sure people cant accept my honesty.."
9503,1,"Post-CCT fellow in Hand & Wrist Surgery. Always time for Family, Friends, and the mighty LiverpoolFC. Views own."
9504,0,Ambalaj Bizimle anlam kazanacak -plastic packaging -envases de plstico - emballages en plastique -  -Kunststoffverpackungen
9505,0,"Asociacioni Shndetsor Profesional sht shoqat mjeksore me seli n Prizren, e themeluar me 28.12.2008"
9506,0,"Passionated PT, enthusiastic researcher, low-profile citizen. Basketball and football lover. Ex-future hope of World football. Behind the scene for #WCPT2019"
9507,0,"My God, and My Family| MBA Candidate Kent State University|CEO of @CaseMD_ and President of @myalula| Alum|Psalms 18:1-6"
9508,1,medical doctor
9509,0,     .       .            .           
9510,1,"Mission Health Philanthropy, Asheville NC Whole health, philanthropy, mental health, wellness, faith, neuroscience, music, writing, life! ENFJ. Enneagram 6."
9511,0,"We make Cupcakes, Cookies, CakePops for any event. Everything's a little sweeter with sugar on it!"
9512,0,"Follow us ,we wil follow you."
9513,1,"Comprehensive Ophthalmologist; NYer, SUNY Downstate COM alum. NB: RT are not endorsements or promotions, per se."
9514,1,Urology Trainee & Clinical Research Fellow (PhD student) London U.K |Uro-Oncology & Academic Medicine | @BURSTurology committee | Tennis  fan |
9515,0,"Nerd. Wonk. Lover of data and numbers. Founder of Michigan-based digital, creative, & analytics firm. Flintstone. Loving dad, husband, brother, son, and friend."
9516,1,"Faculty - Healthcare Management & safety, Doctoral student, advocate. Tweets & re-tweets are my personal opinions, thoughts etc. and do not represent MCPHS."
9517,1,"El Salvador native. Family, Internal Medicine, patients, equality=Comments R purely mine & not from any institution that I'm assoc with RTs R not endorsements"
9518,1,"Interventional Radiology in OC. Miami Vascular, MGH Radiology, HMS/HBS Alum."
9519,0,"Shamen Malang si, Raten surang si, baagi Udaan pe hi na Jane Kyun, Ilahi mera jee aaye.."
9520,0,"Daveebenezer18@gmail.com
KillaBeatRapHead
Golden-rapper
NewSchCat"
9521,0,Hi
9522,0,"Jersey born; Florida, Germany, Georgia, Maryland, Virginia lived; recently married in a way we only could have; God rocks, music lover too."
9523,1,"GenPsych is a provider of top quality outpatient psychiatric and substance abuse services dedicated to helping children, teens, adults, and their families."
9524,0,"A hotelier, a mother, aunty above all God fearing person"
9525,0,Gospel Artist king of kigooco
9526,0,Realtor Associate
9527,0,| JWU & KJF
9528,0,I'm a 100% disabled veteran - Vietnam era.
9529,1,I prevent and restore normal body functions of age related disorders through alternative medicine
9530,1,"Music, patients & patience... Founder at @SmarterMedCare"
9531,0,Sunshine Enthusiast. Fishing Connoisseur.
9532,1,i m a Dr
9533,0,Established 2006
9534,0,"Progressive Liberal, PETA Supporter, & staunch believer that ALL HUMAN LIVES MATTER! Love conquers Hate."
9535,1,"Award-winning #Author,  #2xCancerSurvivor, Speaker & Advocate: #GYNhealth #FertilityOptions #SexualHealth, #Mom"
9536,1,Runner. Nanny. Pre-med.
9537,0,https://t.co/qhllVSEjmO
9538,0,"Nutricionista, Vegetariana   Peruana"
9539,0,"Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time. 
medical student at KKU.
dammam, Abha "
9540,0,"Maritime Security Professional /Contractor/ Security Officer/CPO/CSP Bank Security Officer, email : charliejusi@gmail.com"
9541,0,Just me
9542,1,The Annual International Congress on Hematologic Malignancies fills education gaps and fosters the integration of evidence-based patient care
9543,1,"Jersey girl & Nurse2know with a NY life filled with family, love & a Newfie named Little Bear."
9544,1,"TX Lege Chair for Childhood Obesity Prevention. If you're going to chase your dreams, you need the right shoes."" God, momming, author & arguing to pass bills."
9545,1,"Health care provider, entertainer,philantropist, activist, feminist."
9546,0,I love everybody there's no color
9547,1,"I don't know, but I've been told...You never slow down, you never grow old. | Healthcare Systems, Alaskan Klee Kai Fur-Mama, Food, , Pilates, Other randomness"
9548,1,President & CEO of Bruyre Continuing Care as well as part-time MBA Professor at Laurentian University. Tweets are my own
9549,1,DOCTOR
9550,0,Strategic Communications                         Marketing  Branding Public Relations Social Media #SA #ATX
9551,0,Every Body is Looking for Advice. Find the Answer on our Knowledge Saving
9552,0,"Husband to Kate. Father to Matthew, (Melissa), Adam and Mae. Grandpa to James, Stella and Norah. Iron Chef in my head. Teacher. That's it."
9553,1,"A dedicated and independently owned, multi-specialty clinical research center. Over 600 national and multinational clinical trials have been conducted."
9554,1,"Rehabilitation Hospital of Indiana offers physical rehabilitation programs, including: spinal cord , brain, stroke, burn, trauma. Programs are CARF-accredited"
9555,0,Cirujano Plastico 52308000 Ext 4419
9556,0,Supporter of everything & everyone that's good in the world 
9557,1,"Patient Experience, Physical Therapist, Italy, Travel, Winter, Snows, Snickers .."
9558,0,"100% Natural Sun Care Products Made with Argan Oil. Made in the USA. Check out our 4 AMAZING Products: SPF 30, Tanning Oil, After Sun Lotion, and Sunless Tanner"
9559,0,Creative individual with natural instincts as a corporate marketer! Looking for new beginnings in a new career
9560,0,Meh
9561,0,"PR specialist + marketing writer + content creator + PNW outdoors enthusiast + coffee, wine, happiness & Aloha fan. #Seattle #Travel #Arts #Marketing #Retail"
9562,1,"Louisville's leader for LASIK and a whole lot more! We can meet all of your vision needs, and we even sell contact lenses and designer eyewear."
9563,1,Industry leader in #medical #transcription and #coding services combining qualified people with #tech for high-value #healthcare information solutions.
9564,1,Advanced Innovative Medicine (AIM) is focused on developing innovative medical therapies using adult stem cells.
9565,0,"Super Steeler and Penguin fan. Interested in politics, traveling. progressive democrat. #theresistance #basta #neveragain #bluewave #resist"
9566,1," Saigonese, 17 South   BS, RN  Khang, cats, and shiba inu "
9567,0,Motivate. Inspire. Empower.
9568,0,"Wync WP New Form Media, press the press create news, The Four and number three, eh Mike? true statement 917-359-4277 LOTS OF UNEDITED VC"
9569,0,Proud member of the #NYP #StrokeTeamJazz Lover  Baseball Aficionado #Yankees  #Seahawks Fan  Beach Fanatic  Pescatarian   Doggie Lover 
9570,0,"a life of s: skin, snow, sun and more"
9571,1,"The leader in Supported Living Services, Senior & Adult In-Home Care Services in Sacramento and Northern California. (916) 243-5320"
9572,0,no coment...
9573,0,"Skutt Catholic Alumni Football Mom, UNK Alumni & USD Football Mom/Big Fan of NE Volleyball/NY Jets Fan"
9574,0,I
9575,1,Welcome To Planet HIPAA Where Friendly & Intelligent Experts Help You Become #HIPAA Compliant!
9576,0,forever learning.
9577,1,"Postdoc at University of Washington School of medicine, Seattle"
9578,0,wanzulhasmi t.melati
9579,1,Surgeon Cerrah
9580,1,"Professor,Virtual Surgeon,  Digital Surgeon,Global Citizen,Cancer Specialist,Futurist, Keynote Speaker,Singularity Faculty, Multi TEDx,AR,VR, https://t.co/m1GQBaBg76"
9581,0,"Elissa D. Levan is a member of Funk & Bolton, P.A., resident in the firms Baltimore office, and she is a member of the Local Government Practice Group."
9582,0,SAHM to 3 wonderful little boys
9583,1,A radiology workflow (RIS) solution for free-standing and mobile imaging centers and hospitals.
9584,1,"NEXUS LIFECARE PVT. LTD. is a leading manufacturer, exporter and trader from Mumbai dealing in various Specialty medicines and also a well known Name."
9585,1,"President of Sunrise Services, LLC.  We specialize in revenue cycle management, EMR implementation and practice management consulting."
9586,1,"Genekam develops products: ready to PCR kits e.g. influenza viruses, human monoclonal antibodies, stem cells, antisense drugs and biodisinfectant in Germany."
